submission_id,age,displayed_sentence,gender,itemname,list_assignment,startDate,time_spent,pejorative_type,action,pejorative_word,response
969167,34,<!-- female --><!-- COI_neg --><q>That dick Jacob cancelled the meeting at the last minute!</q>,female,Item11,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),1468,COI,neg,dick,Individual
969167,34,<!-- female --><!-- COI_neg --><q>That douchebag Jason sent sensitive information to the wrong person!</q>,female,Item23,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),476,COI,neg,douchebag,Individual
969167,34,<!-- male --><!-- GOI_neg --><q>That bitch Isabella deliberately excluded people from the important email thread!</q>,female,Item14,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),717,GOI,neg,bitch,Individual
969167,34,<!-- male --><!-- GOI_neg --><q>That bitch Emma always speaks over everyone in team meetings!</q>,female,Item2,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),861,GOI,neg,bitch,Individual
969167,34,<!-- male --><!-- GOI_neutral --><q>That whore Sophia comes from a family with three siblings!</q>,female,Item10,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),2165,GOI,neutral,whore,Individual
969167,34,<!-- female --><!-- COI_neg --><q>That douche Tyler stole money from the department budget!</q>,female,Item5,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),480,COI,neg,douche,Individual
969167,34,<!-- female --><!-- GOI_promisc --><q>That whore Claire flaunts her body to get special treatment!</q>,female,Item21,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),947,GOI,promisc,whore,Individual
969167,34,<!-- female --><!-- GOI_promisc --><q>That slut Grace frequently talks about her one-night stands!</q>,female,Item15,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),543,GOI,promisc,slut,Individual
969167,34,<!-- male --><!-- GOI_neg --><q>That cunt Natalie raised her voice at the client during the meeting!</q>,female,Item20,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),1296,GOI,neg,cunt,Individual
969167,34,<!-- male --><!-- GOI_neg --><q>That cunt Olivia always takes the last coffee without making more!</q>,female,Item8,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),7198,GOI,neg,cunt,Individual
969167,34,<!-- female --><!-- GOI_promisc --><q>That bitch Jessica has slept with half the people in our friend group!</q>,female,Item3,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),564,GOI,promisc,bitch,Individual
969167,34,<!-- male --><!-- GOI_neutral --><q>That slut Lily grew up in a small town in Maine!</q>,female,Item16,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),797,GOI,neutral,slut,Individual
969167,34,<!-- male --><!-- GOI_neutral --><q>That slut Sarah recently moved to the east side of town!</q>,female,Item4,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),462,GOI,neutral,slut,Individual
969167,34,<!-- female --><!-- COI_neutral --><q>That jerk Nathan has moved here recently from Chicago!</q>,female,Item1,B,Wed Mar 19 2025 13:35:51 GMT-0400 (Eastern Daylight Time),7755,COI,neutral,jerk,Individual
188942,24,<!-- female --><!-- GOI_neg --><q>That bitch Mia keeps interrupting during the faculty meeting!</q>,female,Item1,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),2153,GOI,neg,bitch,Individual
188942,24,<!-- female --><!-- GOI_neutral --><q>That cunt Michelle transferred here from the Seattle office!</q>,female,Item9,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),5359,GOI,neutral,cunt,Individual
188942,24,<!-- female --><!-- GOI_neg --><q>That bitch Ava takes all the credit for our group project!</q>,female,Item13,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),1370,GOI,neg,bitch,Individual
188942,24,<!-- female --><!-- GOI_neutral --><q>That whore Claire orders takeout for dinner twice a week!</q>,female,Item21,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),2204,GOI,neutral,whore,Individual
188942,24,<!-- female --><!-- COI_promisc --><q>That douchebag Jason cheated on his partner multiple times!</q>,female,Item23,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),671,COI,promisc,douchebag,Individual
188942,24,<!-- male --><!-- COI_neutral --><q>That douchebag Thomas rents an apartment near downtown!</q>,female,Item24,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),628,COI,neutral,douchebag,Individual
188942,24,<!-- female --><!-- GOI_neg --><q>That cunt Victoria blames others for her own mistakes!</q>,female,Item19,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),545,GOI,neg,cunt,Individual
188942,24,<!-- female --><!-- COI_promisc --><q>That douche Tyler hooks up with someone new every weekend!</q>,female,Item5,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),18612,COI,promisc,douche,Individual
188942,24,<!-- female --><!-- COI_promisc --><q>That jerk Owen keeps sending nude photos to people he barely knows!</q>,female,Item17,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),2867,COI,promisc,jerk,Individual
188942,24,<!-- male --><!-- COI_neutral --><q>That jerk Alex usually brings a water bottle to work!</q>,female,Item18,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),592,COI,neutral,jerk,Individual
188942,24,<!-- male --><!-- COI_neg --><q>That dick Michael never gives credit when using other people's ideas!</q>,female,Item10,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),1357,COI,neg,dick,Individual
188942,24,<!-- female --><!-- GOI_neg --><q>That cunt Lauren lied about the project deadline to the client!</q>,female,Item7,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),840,GOI,neg,cunt,Individual
188942,24,<!-- male --><!-- COI_neutral --><q>That dick William recently moved to a new apartment!</q>,female,Item12,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),887,COI,neutral,dick,Individual
188942,24,<!-- male --><!-- GOI_promisc --><q>That cunt Natalie sleeps around with different people every week!</q>,female,Item20,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),2359,GOI,promisc,cunt,Individual
188942,24,<!-- female --><!-- COI_promisc --><q>That dick Jacob has a different date almost every night!</q>,female,Item11,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),607,COI,promisc,dick,Individual
188942,24,<!-- male --><!-- COI_neg --><q>That douche Cameron sabotaged another team's presentation!</q>,female,Item22,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),667,COI,neg,douche,Individual
188942,24,<!-- male --><!-- COI_neg --><q>That asshole David never responds to important emails on time!</q>,female,Item4,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),525,COI,neg,asshole,Individual
188942,24,<!-- male --><!-- COI_neg --><q>That prick Benjamin always arrives late to important meetings!</q>,female,Item16,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),499,COI,neg,prick,Individual
188942,24,<!-- male --><!-- GOI_promisc --><q>That cunt Olivia constantly talks about her sexual escapades!</q>,female,Item8,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),486,GOI,promisc,cunt,Individual
188942,24,<!-- male --><!-- COI_neutral --><q>That douche Kevin usually shops at the grocery store on Saturdays!</q>,female,Item6,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),1536,COI,neutral,douche,Individual
188942,24,<!-- male --><!-- GOI_promisc --><q>That bitch Emma flirts with everyone at the office party!</q>,female,Item2,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),662,GOI,promisc,bitch,Individual
188942,24,<!-- female --><!-- GOI_neutral --><q>That slut Grace just bought a house in the suburbs!</q>,female,Item15,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),3011,GOI,neutral,slut,Individual
188942,24,<!-- male --><!-- GOI_promisc --><q>That bitch Isabella is known for sleeping with anyone who buys her drinks!</q>,female,Item14,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),1000,GOI,promisc,bitch,Individual
188942,24,<!-- female --><!-- GOI_neutral --><q>That bitch Jessica graduated from State University last year!</q>,female,Item3,A,Wed Mar 19 2025 13:39:28 GMT-0400 (Eastern Daylight Time),1203,GOI,neutral,bitch,Group
134058,38,<!-- male --><!-- COI_neg --><q>That prick Benjamin always arrives late to important meetings!</q>,female,Item16,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),2665,COI,neg,prick,Individual
134058,38,<!-- male --><!-- COI_neg --><q>That dick Michael never gives credit when using other people's ideas!</q>,female,Item10,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),2347,COI,neg,dick,Individual
134058,38,<!-- female --><!-- COI_promisc --><q>That jerk Owen keeps sending nude photos to people he barely knows!</q>,female,Item17,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1353,COI,promisc,jerk,Individual
134058,38,<!-- female --><!-- GOI_neutral --><q>That slut Grace just bought a house in the suburbs!</q>,female,Item15,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1084,GOI,neutral,slut,Individual
134058,38,<!-- male --><!-- GOI_promisc --><q>That cunt Olivia constantly talks about her sexual escapades!</q>,female,Item8,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),938,GOI,promisc,cunt,Individual
134058,38,<!-- female --><!-- GOI_neg --><q>That bitch Mia keeps interrupting during the faculty meeting!</q>,female,Item1,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),825,GOI,neg,bitch,Individual
134058,38,<!-- male --><!-- COI_neg --><q>That asshole David never responds to important emails on time!</q>,female,Item4,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),726,COI,neg,asshole,Individual
134058,38,<!-- female --><!-- GOI_neg --><q>That cunt Lauren lied about the project deadline to the client!</q>,female,Item7,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1261,GOI,neg,cunt,Individual
134058,38,<!-- female --><!-- GOI_neutral --><q>That bitch Jessica graduated from State University last year!</q>,female,Item3,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1069,GOI,neutral,bitch,Individual
134058,38,<!-- female --><!-- GOI_neutral --><q>That cunt Michelle transferred here from the Seattle office!</q>,female,Item9,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),654,GOI,neutral,cunt,Individual
134058,38,<!-- female --><!-- GOI_neutral --><q>That whore Claire orders takeout for dinner twice a week!</q>,female,Item21,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),807,GOI,neutral,whore,Individual
134058,38,<!-- male --><!-- COI_neutral --><q>That dick William recently moved to a new apartment!</q>,female,Item12,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1107,COI,neutral,dick,Individual
134058,38,<!-- female --><!-- GOI_neg --><q>That bitch Ava takes all the credit for our group project!</q>,female,Item13,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1085,GOI,neg,bitch,Individual
134058,38,<!-- female --><!-- COI_promisc --><q>That douche Tyler hooks up with someone new every weekend!</q>,female,Item5,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),913,COI,promisc,douche,Individual
134058,38,<!-- male --><!-- COI_neutral --><q>That jerk Alex usually brings a water bottle to work!</q>,female,Item18,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1176,COI,neutral,jerk,Individual
134058,38,<!-- male --><!-- COI_neutral --><q>That douchebag Thomas rents an apartment near downtown!</q>,female,Item24,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),975,COI,neutral,douchebag,Individual
134058,38,<!-- male --><!-- COI_neutral --><q>That douche Kevin usually shops at the grocery store on Saturdays!</q>,female,Item6,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),755,COI,neutral,douche,Individual
134058,38,<!-- male --><!-- GOI_promisc --><q>That bitch Isabella is known for sleeping with anyone who buys her drinks!</q>,female,Item14,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),974,GOI,promisc,bitch,Individual
134058,38,<!-- male --><!-- GOI_promisc --><q>That cunt Natalie sleeps around with different people every week!</q>,female,Item20,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),925,GOI,promisc,cunt,Individual
134058,38,<!-- male --><!-- COI_neg --><q>That douche Cameron sabotaged another team's presentation!</q>,female,Item22,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),744,COI,neg,douche,Individual
134058,38,<!-- male --><!-- GOI_promisc --><q>That bitch Emma flirts with everyone at the office party!</q>,female,Item2,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),905,GOI,promisc,bitch,Individual
134058,38,<!-- female --><!-- COI_promisc --><q>That douchebag Jason cheated on his partner multiple times!</q>,female,Item23,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1444,COI,promisc,douchebag,Individual
134058,38,<!-- female --><!-- COI_promisc --><q>That dick Jacob has a different date almost every night!</q>,female,Item11,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),718,COI,promisc,dick,Individual
134058,38,<!-- female --><!-- GOI_neg --><q>That cunt Victoria blames others for her own mistakes!</q>,female,Item19,A,Wed Mar 19 2025 11:44:18 GMT-0600 (Mountain Daylight Time),1045,GOI,neg,cunt,Individual
124022,70,<!-- female --><!-- COI_promisc --><q>That douchebag James was all over different people at the club last night!</q>,male,Item7,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1724,COI,promisc,douchebag,Individual
124022,70,<!-- female --><!-- GOI_neg --><q>That cunt Michelle spreads rumors about coworkers behind their backs!</q>,male,Item9,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1987,GOI,neg,cunt,Individual
124022,70,<!-- female --><!-- GOI_neutral --><q>That whore Charlotte commutes about thirty minutes each way!</q>,male,Item11,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1725,GOI,neutral,whore,Individual
124022,70,<!-- male --><!-- COI_neg --><q>That dick William dismisses everyone's concerns during discussions!</q>,male,Item12,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1320,COI,neg,dick,Individual
124022,70,<!-- female --><!-- COI_promisc --><q>That prick Lucas keeps making sexual comments in professional settings!</q>,male,Item13,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1467,COI,promisc,prick,Individual
124022,70,<!-- female --><!-- COI_promisc --><q>That asshole Christopher has made out with everyone in our friend circle!</q>,male,Item19,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1666,COI,promisc,asshole,Individual
124022,70,<!-- male --><!-- GOI_promisc --><q>That slut Sarah dresses provocatively whenever we go out!</q>,male,Item4,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1375,GOI,promisc,slut,Individual
124022,70,<!-- male --><!-- COI_neg --><q>That douchebag Thomas never follows proper protocol for expense reports!</q>,male,Item24,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1371,COI,neg,douchebag,Individual
124022,70,<!-- female --><!-- GOI_neutral --><q>That whore Eleanor wears a watch on her left wrist!</q>,male,Item23,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1925,GOI,neutral,whore,Individual
124022,70,<!-- female --><!-- GOI_neutral --><q>That slut Ashley lives in an apartment downtown!</q>,male,Item5,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1407,GOI,neutral,slut,Individual
124022,70,<!-- male --><!-- COI_neutral --><q>That jerk Marcus drives a blue sedan to work!</q>,male,Item2,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1635,COI,neutral,jerk,Individual
124022,70,<!-- female --><!-- GOI_neg --><q>That slut Grace takes office supplies home without asking!</q>,male,Item15,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1248,GOI,neg,slut,Individual
124022,70,<!-- male --><!-- COI_neg --><q>That jerk Alex constantly ignores everyone's feedback!</q>,male,Item18,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1281,COI,neg,jerk,Individual
124022,70,<!-- male --><!-- GOI_promisc --><q>That whore Audrey got drunk and made out with three people at the party!</q>,male,Item22,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1032,GOI,promisc,whore,Individual
124022,70,<!-- male --><!-- COI_neutral --><q>That douchebag Daniel is originally from the west coast!</q>,male,Item8,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1369,COI,neutral,douchebag,Individual
124022,70,<!-- female --><!-- COI_promisc --><q>That jerk Nathan keeps wearing revealing clothes to get attention!</q>,male,Item1,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),958,COI,promisc,jerk,Individual
124022,70,<!-- male --><!-- GOI_promisc --><q>That slut Lily openly flirts with professors for better grades!</q>,male,Item16,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),967,GOI,promisc,slut,Individual
124022,70,<!-- male --><!-- GOI_promisc --><q>That whore Sophia sends provocative messages to people who are taken!</q>,male,Item10,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1167,GOI,promisc,whore,Individual
124022,70,<!-- female --><!-- GOI_neg --><q>That whore Claire takes credit for projects she barely worked on!</q>,male,Item21,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1054,GOI,neg,whore,Individual
124022,70,<!-- male --><!-- COI_neutral --><q>That prick Noah has lived in this city for about five years!</q>,male,Item14,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1431,COI,neutral,prick,Individual
124022,70,<!-- female --><!-- GOI_neutral --><q>That slut Hannah just moved into a new apartment last month!</q>,male,Item17,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1796,GOI,neutral,slut,Individual
124022,70,<!-- male --><!-- COI_neg --><q>That douche Kevin refuses to share resources with the team!</q>,male,Item6,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1366,COI,neg,douche,Individual
124022,70,<!-- male --><!-- COI_neutral --><q>That asshole Adrian has a cat named Max!</q>,male,Item20,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),1111,COI,neutral,asshole,Individual
124022,70,<!-- female --><!-- GOI_neg --><q>That bitch Jessica constantly takes credit for other people's ideas!</q>,male,Item3,C,Wed Mar 19 2025 13:45:14 GMT-0400 (Eastern Daylight Time),719,GOI,neg,bitch,Individual
685285,34,<!-- female --><!-- COI_promisc --><q>That douche Tyler hooks up with someone new every weekend!</q>,female,Item5,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),2108,COI,promisc,douche,Individual
685285,34,<!-- male --><!-- COI_neutral --><q>That dick William recently moved to a new apartment!</q>,female,Item12,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),1088,COI,neutral,dick,Individual
685285,34,<!-- female --><!-- GOI_neutral --><q>That slut Grace just bought a house in the suburbs!</q>,female,Item15,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),1216,GOI,neutral,slut,Individual
685285,34,<!-- male --><!-- COI_neg --><q>That prick Benjamin always arrives late to important meetings!</q>,female,Item16,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),1286,COI,neg,prick,Individual
685285,34,<!-- male --><!-- COI_neg --><q>That dick Michael never gives credit when using other people's ideas!</q>,female,Item10,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),898,COI,neg,dick,Individual
685285,34,<!-- female --><!-- GOI_neutral --><q>That whore Claire orders takeout for dinner twice a week!</q>,female,Item21,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),4332,GOI,neutral,whore,Group
685285,34,<!-- male --><!-- GOI_promisc --><q>That bitch Isabella is known for sleeping with anyone who buys her drinks!</q>,female,Item14,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),955,GOI,promisc,bitch,Individual
685285,34,<!-- female --><!-- GOI_neg --><q>That bitch Mia keeps interrupting during the faculty meeting!</q>,female,Item1,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),810,GOI,neg,bitch,Individual
685285,34,<!-- male --><!-- COI_neg --><q>That asshole David never responds to important emails on time!</q>,female,Item4,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),893,COI,neg,asshole,Individual
685285,34,<!-- female --><!-- GOI_neg --><q>That cunt Lauren lied about the project deadline to the client!</q>,female,Item7,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),991,GOI,neg,cunt,Individual
685285,34,<!-- female --><!-- COI_promisc --><q>That jerk Owen keeps sending nude photos to people he barely knows!</q>,female,Item17,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),863,COI,promisc,jerk,Individual
685285,34,<!-- female --><!-- GOI_neg --><q>That cunt Victoria blames others for her own mistakes!</q>,female,Item19,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),820,GOI,neg,cunt,Individual
685285,34,<!-- male --><!-- COI_neutral --><q>That douche Kevin usually shops at the grocery store on Saturdays!</q>,female,Item6,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),878,COI,neutral,douche,Individual
685285,34,<!-- male --><!-- COI_neg --><q>That douche Cameron sabotaged another team's presentation!</q>,female,Item22,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),850,COI,neg,douche,Individual
685285,34,<!-- female --><!-- GOI_neutral --><q>That bitch Jessica graduated from State University last year!</q>,female,Item3,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),741,GOI,neutral,bitch,Individual
685285,34,<!-- male --><!-- GOI_promisc --><q>That cunt Olivia constantly talks about her sexual escapades!</q>,female,Item8,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),592,GOI,promisc,cunt,Individual
685285,34,<!-- male --><!-- COI_neutral --><q>That douchebag Thomas rents an apartment near downtown!</q>,female,Item24,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),578,COI,neutral,douchebag,Individual
685285,34,<!-- male --><!-- GOI_promisc --><q>That bitch Emma flirts with everyone at the office party!</q>,female,Item2,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),963,GOI,promisc,bitch,Individual
685285,34,<!-- female --><!-- COI_promisc --><q>That dick Jacob has a different date almost every night!</q>,female,Item11,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),729,COI,promisc,dick,Individual
685285,34,<!-- female --><!-- GOI_neg --><q>That bitch Ava takes all the credit for our group project!</q>,female,Item13,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),672,GOI,neg,bitch,Individual
685285,34,<!-- male --><!-- GOI_promisc --><q>That cunt Natalie sleeps around with different people every week!</q>,female,Item20,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),619,GOI,promisc,cunt,Individual
685285,34,<!-- female --><!-- COI_promisc --><q>That douchebag Jason cheated on his partner multiple times!</q>,female,Item23,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),621,COI,promisc,douchebag,Individual
685285,34,<!-- male --><!-- COI_neutral --><q>That jerk Alex usually brings a water bottle to work!</q>,female,Item18,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),552,COI,neutral,jerk,Individual
685285,34,<!-- female --><!-- GOI_neutral --><q>That cunt Michelle transferred here from the Seattle office!</q>,female,Item9,A,Wed Mar 19 2025 12:46:08 GMT-0500 (Central Daylight Time),560,GOI,neutral,cunt,Individual
226318,23,<!-- female --><!-- COI_neg --><q>That douchebag James lied about the project deadline to the client!</q>,female,Item7,D,Wed Mar 19 2025 10:45:04 GMT-0700 (Pacific Daylight Time),3364,COI,neg,douchebag,Individual
226318,23,<!-- female --><!-- GOI_promisc --><q>That whore Eleanor cheated on her partner multiple times!</q>,female,Item23,D,Wed Mar 19 2025 10:45:04 GMT-0700 (Pacific Daylight Time),3309,GOI,promisc,whore,Group
226318,23,<!-- male --><!-- GOI_neutral --><q>That whore Sophie rents an apartment near downtown!</q>,female,Item24,D,Wed Mar 19 2025 10:45:04 GMT-0700 (Pacific Daylight Time),3601,GOI,neutral,whore,Group
226318,23,<!-- male --><!-- GOI_neg --><q>That slut Lily always arrives late to important meetings!</q>,female,Item16,D,Wed Mar 19 2025 10:45:04 GMT-0700 (Pacific Daylight Time),1355,GOI,neg,slut,Group
226318,23,<!-- male --><!-- COI_promisc --><q>That douchebag Daniel constantly talks about his sexual escapades!</q>,female,Item8,D,Wed Mar 19 2025 10:45:04 GMT-0700 (Pacific Daylight Time),1138,COI,promisc,douchebag,Individual
